Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,SystemCount,GridSize,ObstacleRatio,EntityCount,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Gen1,Gen2,Allocated,Alloc Ratio
SystemExecutionBenchmarks,Execute_NoObserver,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,?,?,?,3.394 ns,0.0486 ns,0.0455 ns,1.00,0.02,0.0000,0.0000,0.0000,0 B,NA
SystemExecutionBenchmarks,Execute_WithMetricsObserver_AllTicksSampled,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,?,?,?,144.427 ns,2.2708 ns,2.1241 ns,42.56,0.82,0.0000,0.0000,0.0000,0 B,NA
SystemExecutionBenchmarks,Execute_WithMetricsObserver_UnsampledTick,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,?,?,?,7.186 ns,0.0499 ns,0.0442 ns,2.12,0.03,0.0000,0.0000,0.0000,0 B,NA
SystemExecutionBenchmarks,Execute_NoObserver,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8,?,?,?,24.052 ns,0.2186 ns,0.2045 ns,1.00,0.01,0.0000,0.0000,0.0000,0 B,NA
SystemExecutionBenchmarks,Execute_WithMetricsObserver_AllTicksSampled,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8,?,?,?,479.578 ns,2.1512 ns,1.9070 ns,19.94,0.18,0.0000,0.0000,0.0000,0 B,NA
SystemExecutionBenchmarks,Execute_WithMetricsObserver_UnsampledTick,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8,?,?,?,28.889 ns,0.2207 ns,0.2064 ns,1.20,0.01,0.0000,0.0000,0.0000,0 B,NA
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,16,0,?,"124,044.748 ns","2,093.6693 ns","2,722.3617 ns",1.00,0.03,15.6250,2.1973,0.0000,74128 B,1.00
MovementPathfinderBenchmarks,TryFindPath_WithObstacles,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,16,0,?,"128,208.318 ns","2,405.6893 ns","2,362.7086 ns",1.03,0.03,15.6250,2.1973,0.0000,74128 B,1.00
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,16,0.1,?,"128,635.993 ns","2,492.0524 ns","2,769.9096 ns",1.00,0.03,15.6250,2.1973,0.0000,74128 B,1.00
MovementPathfinderBenchmarks,TryFindPath_WithObstacles,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,16,0.1,?,"250,450.371 ns","3,898.0515 ns","3,646.2398 ns",1.95,0.05,15.6250,2.1973,0.0000,73912 B,1.00
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,16,0.2,?,"127,395.524 ns","2,479.4826 ns","2,319.3095 ns",1.00,0.02,15.6250,2.1973,0.0000,74128 B,1.00
MovementPathfinderBenchmarks,TryFindPath_WithObstacles,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,16,0.2,?,"234,370.347 ns","3,871.7651 ns","3,621.6515 ns",1.84,0.04,15.6250,1.7090,0.0000,73552 B,0.99
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,32,0,?,"488,077.977 ns","7,053.4844 ns","6,597.8337 ns",1.00,0.02,38.5742,1.4648,0.0000,183728 B,1.00
